Title,URL,Date,Time,Duration,Content,Image
"After his historic guilty verdict, Trump is focused on revenge",https://www.yahoo.com/news/historic-guilty-verdict-trump-focused-110000596.html,"Updated Mon, June 10, 2024",9:50 PM GMT+5:30,6 min read,"Donald Trump wants to talk about revenge, and neither Sean Hannity nor Dr. Phil can stop him.
Both have tried.
Fresh off his historic guilty verdict in New York, Trump’s public comments, including in interviews with both men, have increasingly focused on the idea of “retribution” against his enemies if he returns to the White House.
It’s rhetoric driven by Trump’s obsession that President Joe Biden

and Democrats orchestrated a series of legal problems intended to derail his presidential campaign — a political persecution theory not supported by the facts.
On May 30, a New York jury unanimously found Trump guilty on 34 counts related to falsifying business records tied to a $130,000 payment he made to an adult film star during the 2016 election. The Biden administration had nothing to do with the case.
But for Trump, it’s all politics, and revenge may need to be meted out.
“Well, revenge does take time, I will say that,” Trump said during a Thursday interview with Dr. Phil. “And sometimes revenge can be justified, Phil, I have to be honest. Sometimes it can.”
Trump has done at least five interviews since his guilty verdict. In all five, he has talked about possible retribution.
“I think there should be concern,” said Ty Cobb, the attorney who served as a White House attorney during the Trump administration. “From a 30,000-foot view, what I see is Trump angrier now than he was before because he is convicted now.”
""President Trump has made clear that success will be the best revenge,"" Trump senior adviser Brian Hughes said. ""When others have weaponized government and legal institutions against him for political interference, he will return these institutions to their constitutional purpose of protecting Americans’ liberty and creating a safe and prosperous nation again.""
The Dr. Phil interview came one day after Trump sat down with Hannity and at times seemed to debate himself over the idea of exacting revenge.
At one point, Trump said “they’re wrong” when the Fox News host asked about those who say Trump will use his administration for revenge, but in the same breath, he laid out potential opportunities.
“Look when this election is over, based on what they’ve done, I would have every right to go after them,” Trump said. “And it’s easy because it’s Joe Biden, and you see all the criminality, all of the money that’s going into the family and him, all of this money from China, from Russia, from Ukraine.”
Hannity tried to steer Trump away from the idea of revenge, at one point interrupting to try to encourage him to say political retribution “has to stop.”
Dr. Phil, too, tried to get Trump to say he would not seek revenge if he wins in November.
“That is a big issue and I leaned very strongly into the position of saying, ‘Look, this is not going to help this country,’” Dr. Phil told CNN of his interview with Trump.
In other interviews and public appearances, Trump has made similar comments.
On Tuesday, in an interview with the conservative outlet Newsmax, Trump seemed to float the possibility of imprisoning his political opponents if he becomes president again.
“So, you know, it’s a terrible, terrible path that they’re leading us to, and it’s very possible that it’s going to have to happen to them,” Trump said.
“Does that mean the next president does it to them? That’s really the question,” he added.
He has also suggested that there would be a “breaking point” for the public if he is sentenced to jail time or house arrest, as he awaits his sentencing set for July 11.
An open desire to seek revenge on political enemies is not something new for Trump or his supporters.
While still president in 2020, Trump took to social media to ask “Where are all of the arrests?” echoing his supporters’ criticism that his own attorney general, William Barr, had not arrested the likes of Biden, former President Barack Obama or Hillary Clinton over what Trump said was illegal activity tied to special counsel Robert Mueller’s Russia investigation.
Trump also made “lock her up” a rallying cry during his 2016 campaign against Clinton, promising his supporters he would put the former secretary of state in jail if elected. Trump recently denied ever saying “lock her up” despite ample video of him saying just that throughout the 2016 election.
Trump often portrays his calls for retribution as something he’s doing on behalf of all his supporters.
“I know a lot of Republicans who want retribution,” Trump told NBC News on Wednesday at Mar-a-Lago. “They want to do that. We’re going to see what happens.”
He told a crowd at the 2023 Conservative Political Action Conference that “for those who have been wronged and betrayed, I am your retribution.” In January, he said on Fox News that he is “not going to have time for retribution” if elected — comments that came just hours after he sent out a fundraising email again telling supporters “I AM YOUR RETRIBUTION.”
But as the full weight of his legal problems have come into view this year — and especially since his guilty verdict — this revenge-fueled language has taken center stage.
“Even Hannity recognized that this was dangerous territory and tried to reel him in,” said Cobb, who, while in the White House, helped coordinate the internal response to Mueller’s Russia probe. “Trump would have none of it.”
Cobb said he believes the nation’s institutions would hold up if Trump tried to seek clearly politically motivated revenge but that it was a situation nevertheless fraught with peril.
“I think the checks and balances are adequate to withstand these instincts because he has to get people to carry them out,” he added.
For Trump’s political base, the renewed focus on exacting revenge from political opponents has support.
“I agree with him,” said Adam Radogna, a 35-year-old Trump supporter from Cleveland. “Obviously nothing, you know, against the law. But he’s just saying, ‘Hey, we are going to go after you because you’re going after me.’”
Parker Shonts, a 22-year-old Trump supporter from Fowlerville, Michigan, said it’s about “accountability.”
“I would say ‘revenge’ is a campaigning buzzword, but ‘accountability’ would seem more apt,” he said.
Calls for revenge-seeking among Trump supporters again intensified Thursday when a federal judge ordered former Trump adviser Steve Bannon to report to prison July 1 to start a four-month sentence for defying subpoenas from the Jan. 6 committee. The news angered Trump supporters and prompted Bannon to issue direct threats.
“Don’t pray for me. Pray for my enemies,” Bannon said Thursday. “They’re the ones who need it.”
In response to Bannon's being ordered to prison, Trump posted on Truth Social that members of the Jan. 6 committee should be indicted.
“INDICT THE UNSELECT J6 COMMITTEE FOR ILLEGALLY DELETING AND DESTROYING ALL OF THEIR ‘FINDING!’” Trump wrote.
CORRECTION (June 10, 2024, 11:19 a.m. ET): A previous version of this article misstated the date of Trump’s guilty verdict. It was May 30, not 31.
This article was originally published on NBCNews.com
View comments","C:\Python\rpa_challange\Images\After_his_historic_guilty_verdict,_Trump_is_focused_on_revenge.jpg"
Biden Administration Considers Protection for Migrant Spouses of U.S. Citizens,https://www.yahoo.com/news/biden-administration-considers-protection-migrant-113535008.html,"Mon, June 10, 2024",5:05 PM GMT+5:30,5 min read,"The Biden

administration is considering a proposal to protect migrant spouses of U.S. citizens from deportation and allow them to work in the country legally, according to four officials with knowledge of the discussions.
The officials, who spoke on the condition of anonymity to discuss the matter, said that no final decision had been made and that the shape of the policy was unclear. Any such program could also provide some spouses an easier route to obtain U.S. citizenship.
The proposal comes as President Joe Biden has moved to address political liabilities in his immigration policy in recent days.
Sign up for The Morning newsletter from the New York Times
Last week, he moved to bar asylum for migrants crossing into the United States as part of an effort to toughen border enforcement, eliciting criticism from members of his own party. And now, a move to protect immigrants living in the country without legal status could help Biden address some of the fierce resistance that order elicited and shore up support among immigrant advocates, Latino voters and his progressive base.
The program said to be under consideration is known as “parole in place,” which has been used in the past for other populations, like families of military members. It gives immigrants living in the United States without legal permission protection from deportation for a certain period of time and access to a work permit.
Crucially, it also makes it easier for some immigrants to gain new access to a green card and a path to U.S. citizenship.
Generally, unlawful entry into the country blocks people’s access to U.S. citizenship in cases in which they would have otherwise been eligible, like being married to a U.S. citizen. Parole in place, however, helps some immigrants obtain a “lawful immigration status” and become eligible to begin the process of becoming citizens.
It is unclear how many people such a program could affect.
Biden’s executive order last week prompted immediate blowback, with some congressional Democrats likening it to a Trump-era measure to stop migrants from gaining access to protections in the United States.
“While there are some differences from Trump’s actions, the reality is that this utilizes the same failed enforcement-only approach, penalizes asylum seekers and furthers a false narrative that these actions will ‘fix’ the border,” Rep. Pramila Jayapal, D-Wash., said in a statement last week.
Even as he announced a restrictive border policy last week, Biden appeared to indicate that he was considering more progressive moves on immigration.
“For those who say the steps I’ve taken are too strict, I say to you that — be patient,” Biden said Tuesday.
A White House spokesperson said Sunday that the administration had been considering many options.
“As we have said before, the administration continues to explore a series of policy options and we remain committed to taking action to address our broken immigration system,” the spokesperson said in a statement.
Immigration advocates have left briefings with the White House optimistic about the potential for the protection, but also did not receive any indication that the administration would act right away.
Immigrant advocacy groups like Fwd.US have said that more than 1 million spouses of U.S. citizens are in the country without legal status.
“We are optimistic and working tirelessly to ensure that President Biden takes action to protect the long-term undocumented in our country, including the estimated 1.1 million undocumented people in the U.S. who are spouses of an American citizen,” said Andrea Flores, a former administration official and vice president of immigration policy at Fwd.US.
“Doing so would fulfill his Day 1 promise to keep these families together,” she said.
Recent surveys show many Americans, including Democrats and Latinos, favor both tougher immigration enforcement and legal pathways to citizenship.
The embrace of more restrictive policies has come as more cities and states have scrambled to accommodate record numbers of migrants entering the country, and as an increasing number of Republican candidates nationwide have played on fears that migrants pose a threat to jobs, elections and the cultural identity of the nation, even as they run in races far from the border.
Biden’s shift on immigration has been seen by some political strategists as a play to neutralize the issue for white, blue-collar voters in Midwestern swing states like Michigan and Wisconsin. But a perception that Biden is echoing the Trump administration’s playbook or prioritizing enforcement over improving legal pathways to citizenship risks depressing the vote among younger Latinos and progressives who have powered major Democratic victories across the Southwest.
Many Mexican American and Latino activists and elected officials in California, Arizona and Nevada have come of age and entered politics through immigrant-rights movements.
Charles Franklin, who directs the Marquette Law School Poll, said that respondents in Wisconsin polling tended to see former President Donald Trump as better on the issue of immigration than Biden by a 2-to-1 ratio, a potentially insurmountable hurdle for the president this late in the race.
The best argument for Biden’s tougher enforcement policies, Franklin said, might be to reduce the salience of the issue among independents and swing voters, whose views remain more persuadable but whose response is an open question.
“The percentage of Democrats who support deportation is surprisingly high, but he has a bigger faction within his party that is quite troubled by his recent actions,” Franklin said. “It is a divided set of gains and losses for him with these policies.”
The Trump campaign last week made its own play for Latino voters by rebranding its “Latinos Trump” effort to “Latino Americans for Trump.” Campaign officials said the new label was meant to draw Latino voters by emphasizing a unifying American identity. But Latino historians and researchers have also called it a strategic move to drive a wedge among Hispanic voters, some of whom are concerned by the arrival of new migrants.
The American Civil Liberties Union has indicated that it will sue the Biden administration over Biden’s measure limiting asylum access at the southern border.
On Sunday, Alejandro Mayorkas, the homeland security secretary, said the administration was prepared to take on any legal challenges to Biden’s executive action.
“I anticipate they will sue us,” Mayorkas, appearing on ABC’s “The Week,” said of the potential for lawsuits. “We stand by the legality of what we have done. We stand by the value proposition.”
c.2024 The New York Times Company
View comments (141)",C:\Python\rpa_challange\Images\Biden_Administration_Considers_Protection_for_Migrant_Spouses_of_U.S._Citizens.jpg
Republican contenders for Mitt Romney’s open US Senate seat face off in Utah debate,https://www.yahoo.com/news/republican-contenders-mitt-romney-open-041802437.html,"Mon, June 10, 2024",9:48 AM GMT+5:30,3 min read,"SALT LAKE CITY (AP) — Four Utah Republicans battling to win the seat of retiring U.S. Sen. Mitt Romney face off Monday evening in a debate that could begin to gauge the type of conservative who most appeals to voters statewide.
The marquee event in a marathon week of primary debates will test former President Donald Trump's broad influence in Utah, one of the few red states that has been hesitant to embrace him. Trump's day-of endorsement of a little-known mayor helped the local official to win the party nomination over nearly a dozen contenders at the April convention.
Romney has long been the face of the party’s more moderate wing, and his retirement from the Senate opens a door for candidates farther to the right. Observers are closely watching whether voters select a successor whose politics align more with Romney’s or with Utah’s other U.S. senator, Trump supporter Mike Lee.
While moderate U.S. Rep. John Curtis is considered the favorite going into the June 25 primary, convention victor Trent Staggs and former Utah House Speaker Brad Wilson, another Trump supporter, could push Utah politics further right in the post-Romney era.
Curtis, Wilson and businessman Jason Walton had already guaranteed their spots on the primary ballot through signature gathering before the convention and will be joined on the debate stage by Staggs.
Staggs, 49, built his base by calling state GOP delegates and courting the endorsements of Trump and many of his allies nationwide. The mayor of Riverton, a suburb south of Salt Lake City, was the first candidate to enter the Senate race, even before Romney announced he was not seeking reelection. Staggs' convention victory may not translate to success at the ballot box, as Republican Party nominations historically have had little bearing on the decisions of Utah voters.
Curtis has been compared to Romney for pushing back against hardliners in his party, particularly on climate change, but has distanced himself from the retiring senator while campaigning for his seat. The 63-year-old Republican congressman and former mayor of Provo began his political career as a county-level Democratic Party official. He's now the longest-serving member of Utah’s U.S. House delegation and has pitched himself as the only candidate who already understands the inner workings of Capitol Hill.
Wilson, who is endorsed by Gov. Spencer Cox and other top state officials, insists he's already had the greatest impact on Utah residents as a state legislative leader. As House speaker, he oversaw years of tax cuts and budget negotiations that he says will help him fight federal overspending. Wilson, 55, has touted plans to soften federal regulations that he says stand in the way of local officials detaining immigrants who are living in the U.S. illegally.
The winner of the Republican Senate primary will face Democrat Caroline Gleich, a mountaineer and environmental activist, in November. Utah has not elected a Democrat to the U.S. Senate since 1970.
The Republican Senate debate is one of three scheduled for Monday in Utah. Challengers for two of the state's four congressional seats are set to debate earlier in the day. Candidates for governor, attorney general and Curtis' open U.S. House seat will face off Tuesday and Wednesday.
View comments (24)",C:\Python\rpa_challange\Images\Republican_contenders_for_Mitt_Romney’s_open_US_Senate_seat_face_off_in_Utah_debate.jpg
"Trump to undergo probation interview Monday, a required step before his New York sentencing",https://www.yahoo.com/news/trump-undergo-probation-interview-monday-195325462.html,"Mon, June 10, 2024",1:23 AM GMT+5:30,2 min read,"Former President Donald Trump is scheduled to be interviewed by New York probation officials Monday, a required step before his July sentencing in his criminal hush money case, according to three people familiar with the plan.
Trump will do the interview via a computer video conference from his residence at the Mar-a-Lago club in Palm Beach, Florida, the people told The Associated Press. They spoke on condition of anonymity because they weren't authorized to disclose the plans publicly.
One of Trump's lawyers, Todd Blanche

, will be present for the interview. People convicted of crimes in New York usually meet with probation officials without their lawyers, but the judge in Trump's case, Juan Merchan, said in a letter Friday that he would allow Blanche's presence.
The usual purpose of a pre-sentencing probation interview is to prepare a report that will tell the judge more about the defendant, and potentially help determine the proper punishment for the crime.
Such reports are typically prepared by a probation officer, a social worker or a psychologist working for the probation department who interviews the defendant and possibly that person’s family and friends, as well as people affected by the crime.
Presentence reports include a defendant’s personal history, criminal record and recommendations for sentencing. It will also include information about employment and any obligations to help care for a family member. It is also a chance for a defendant to say why they think they deserve a lighter punishment.
A jury convicted Trump of falsifying business records at his own company as part of a broader scheme to buy the silence of people who might have told embarrassing stories about him during the 2016 presidential campaign. One $130,000 payment went to a porn actor, Stormy Daniels, who claimed to have had a sexual encounter with Trump, which he denied.
Trump, the presumptive Republican presidential nominee, says he is innocent of any crime and that the criminal case was brought to hurt his chances to regain the White House.
Trump's campaign spokesman, Steven Cheung, said in statement Sunday that President Joe Biden's Democratic Party allies “continue to ramp up their ongoing Witch-Hunts, further abusing and misusing the power of their offices to interfere in the presidential election.”
“President Trump and his legal team are already taking necessary steps to challenge and defeat the lawless Manhattan DA case,” he said.
Merchan has scheduled Trump's sentencing for July 11. He has discretion to impose a wide range of punishments, ranging from probation and community service to up to four years in prison.
View comments","C:\Python\rpa_challange\Images\Trump_to_undergo_probation_interview_Monday,_a_required_step_before_his_New_York_sentencing.jpg"
"Biden, Trump neck and neck nationally, in battleground states: CBS Poll",https://www.yahoo.com/news/biden-trump-neck-neck-nationally-145940591.html,"Sun, June 9, 2024",8:29 PM GMT+5:30,2 min read,"President Biden and former President Trump are basically tied nationally and in battleground states, according to new polling from CBS News.
The CBS News/YouGov poll found that Trump received 50 percent support nationally among likely voters, while Biden received 49 percent. In battleground states, 50 percent of likely voters selected Biden, while 49 percent backed Trump, according to CBS.
The poll also found that Trump’s recent conviction in the New York hush money case is not a major issue for most voters when deciding whom to support. More than half of respondents said that the guilty verdict was “not a factor” in their decision, 28 percent said it was a “major factor” and 17 percent said it was a “minor factor.”
Instead, an overwhelming majority said that issues like the economy, inflation and the state of the democracy would be the major factors in their votes.
The poll also found that Biden had the edge over Trump among key voting groups. Eighty-one percent of Black likely voters said they would support Biden, while 18 percent said they would back Trump.
Fifty-four percent of surveyed women also said they support Biden, while 45 percent support Trump. Independents are more divided when asked whether they would support Biden or Trump, with 50 percent selecting Biden and 48 percent choosing the former president.
The poll comes as the two front-runners are barreling toward a likely 2020 rematch in November. Trump and Biden are also neck and neck according to The Hill/Decision Desk HQ’s national polling average, which shows Trump with 45.5 percent support and Biden with 44.7 percent.
The poll was conducted June 5-7 among 2,063 U.S. adult residents. It also included an oversample in Arizona, Georgia, Michigan, Nevada, North Carolina, Pennsylvania and Wisconsin. The poll has a margin of error is 3.2 percentage points among all adults and 3.8 points among registered voters.
Copyright 2024 Nexstar Media, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.
For the latest news, weather, sports, and streaming video, head to The Hill.
View comments (1.3k)","C:\Python\rpa_challange\Images\Biden,_Trump_neck_and_neck_nationally,_in_battleground_states:_CBS_Poll.jpg"
"Biden, France's Macron reach agreement on using Russian assets for Ukraine",https://www.yahoo.com/news/biden-frances-macron-reach-agreement-155119638.html,"Sun, June 9, 2024",9:21 PM GMT+5:30,1 min read,"BELLEAU, France (Reuters) - U.S. President Joe Biden said on Sunday he had reached an agreement with French President Emmanuel Macron on the use of profits from frozen Russian assets to help Ukraine.
Asked if the two men had discussed the issue and whether they had come up with an agreement, Biden replied ""Yes and yes.""
The Group of Seven nations and the European Union are considering how to use profits generated by Russian assets immobilized in the West to provide Ukraine with a large up-front loan now and secure Kyiv's financing for 2025.
Around 260 billion euros ($280.9 billion) of Russian central bank funds are frozen worldwide, most of it in the EU. The funds generate 2.5 billion to 3.5 billion euros a year in profit, which the EU says is not contractually owed to Russia and therefore represents a windfall.
The idea, championed by the U.S., is to use this profit as a steady revenue stream to service a large loan of $50 billion that could be raised on the market. Russia says any diversion of the profits from its frozen funds would amount to theft.
Tapping profits from Russian assets has drawn concerns from some countries, but a U.S. Treasury official said on Tuesday that the United States and its G7 partners were making progress.
(Reporting by Jeff Mason and Katharine Jackson; Writing by Arshad Mohammed; Editing by Scott Malone and Bill Berkrot)
View comments (396)","C:\Python\rpa_challange\Images\Biden,_France's_Macron_reach_agreement_on_using_Russian_assets_for_Ukraine.jpg"
Biden is lagging in key swing states. But white non-college voters are keeping him afloat in Wisconsin.,https://www.yahoo.com/news/biden-lagging-key-swing-states-170924839.html,"Mon, June 10, 2024",10:39 PM GMT+5:30,3 min read,"Biden is currently trailing Trump in several critical battleground states ahead of November.
But of all the swing states, Wisconsin has largely been the most receptive to Biden's message.
Biden has retained a significant level of support from the state's bloc of white non-college voters.
In 2020, Wisconsin was one of Joe Biden's most important electoral victories, as he successfully clawed back the Midwestern swing state that was narrowly won by Donald Trump in 2016.
While Democrats need to perform strongly in the liberal population centers of Milwaukee and Madison in order to win statewide elections, the party still retains a significant level of support in many rural communities. And it's Biden's support among white voters without a college degree — a huge voting bloc in these areas — that's currently keeping him afloat in Wisconsin.
Among the seven major swing states, Biden currently trails Trump by at least three points in Arizona, Georgia, Nevada, and North Carolina, according to Real Clear Polling averages.
In Michigan and Pennsylvania, Biden has smaller deficits against Trump in the polling averages.
But in Wisconsin, Biden is often tied with Trump in polling, or has a slim lead. And it's the backing of many white working-class voters that has been critical for the president.
The most recent Quinnipiac University poll showed Biden leading Trump by six points (50% to 44%) among registered voters, while a recent Cook Political Report survey had Biden and Trump tied at 45% among Wisconsin voters.
In the Quinnipiac poll, Wisconsin voters gave Biden positive marks on issues like abortion rights and the preservation of democracy. But even on the question of who would better handle international conflicts — where Trump has opened up a lead in many recent polls — the former president only led Biden by one point (48% to 47%).
When it came to economic issues, Trump had an eight-point lead over Biden (52% to 44%) in Wisconsin, per Quinnipiac, a relatively stable number for the incumbent on an issue where he has struggled in national polling. For Biden, the Wisconsin number represents a much more positive outlook from voters compared to his standing in states like Arizona and Nevada.
Among white voters in Wisconsin, Biden actually led Trump by four points (50% to 46%) in the Quinnipiac poll. And college-educated white voters in Wisconsin backed Biden by 27 points (61% to 34%).
But among white voters without college degrees, Biden only trailed Trump by eight points (44% to 52%), a deficit that is much narrower than in virtually every other swing state.
That Biden has been able to hold on to a sizable level of support from this voting bloc — despite their overall migration to the GOP — shows the uniqueness of the president's electoral coalition in Wisconsin.
And it's a coalition that could help send him back to the White House, especially if he's also able to capture Michigan, Pennsylvania, and Nebraska's Omaha-anchored 2nd Congressional District — in addition to the core of blue states that are the foundation of any Democratic presidential victory.
""In order to win, Democrats have to overperform — by a lot — with white working-class voters in the state, because most voters in Wisconsin are white working-class voters,"" Wisconsin Democratic Party Chairman Ben Wikler recently told The Washington Post. ""No one who's active in politics forgets that for a second.""
Read the original article on Business Insider
View comments",C:\Python\rpa_challange\Images\Biden_is_lagging_in_key_swing_states._But_white_non-college_voters_are_keeping_him_afloat_in_Wisconsin..jpg
Supreme court ruling delays climate litigation big oil has sought to thwart,https://www.yahoo.com/news/supreme-court-ruling-delays-climate-165913264.html,"Mon, June 10, 2024",10:29 PM GMT+5:30,3 min read,"The supreme court on Monday asked the Biden administration to weigh in on big oil’s request to thwart litigation that could put them on the hook for billions of dollars.
The one-line order will delay the litigation from advancing to trial. It follows an unprecedented pressure campaign from far-right fossil fuel allies on the court.
“Big oil companies are fighting desperately to avoid trial in lawsuits like Honolulu’s, which would expose the evidence of the fossil fuel industry’s climate lies for the entire world to see,” said Richard Wiles, president of the non-profit Center for Climate Integrity, which supports climate accountability litigation.
Honolulu is one of dozens of cities and states to sue oil majors for allegedly hiding the dangers of their products from the public. In October, Hawaii’s supreme court ruled that the suit can go to trial.
But the defendants petitioned the US supreme court in February to review that decision, arguing the cases should be thrown out because emissions are a federal issue that cannot be tried in state courts.
The high court receives thousands of petitions each year, giving each one only a small chance of being reviewed. But in recent weeks, rightwing fossil fuel allies have pushed the justices to take up oil companies’ request, publishing a slew of op-eds and social media advertisements.
Some of the groups behind the pressure campaign – which experts say is unprecedented – are connected to far-right supreme court architect Leonard Leo, who co-chairs the ultraconservative legal advocacy group the Federalist Society.
“I have never, ever seen this kind of overt political campaign to influence the court like this,” said Patrick Parenteau, professor and senior climate policy fellow at Vermont Law School, told the Guardian last week.
It is not clear how much Monday’s order will delay the Honolulu case, which was filed in 2020. In October 2022, the supreme court referred a similar petition, involving a climate accountability case brought by Colorado communities, to the Department of Justice. The solicitor general weighed in the following March, siding with the plaintiffs.
While awaiting an opinion in the Honolulu case, companies may also file motions to stay – or pause – proceedings in similar litigation filed by other cities and states, though it is not clear the lower courts will grant them.
On the campaign trail, Biden promised to push his justice department to “strategically support” climate litigation. Advocates say Monday’s order will provide the Biden Department of Justice with an opportunity to make good on that promise.
The solicitor general, they say, should affirm the Hawaii supreme court’s earlier decision and call for the petition to be rejected.
The oil companies insist that only federal policy should handle the issue of greenhouse gas emissions. But the plaintiffs and their supporters say that the lawsuit is “not seeking to solve climate change or regulate emissions”, but rather aiming to force big oil to “stop lying and pay their fair share of the damages they knowingly caused”, said Alyssa Johl, vice-president of legal at the Center for Climate Integrity.
Justice Samuel Alito did not participate in the supreme court’s consideration of the petition, probably because he owned stock in ConocoPhillips, a defendant in the case.
View comments",C:\Python\rpa_challange\Images\Supreme_court_ruling_delays_climate_litigation_big_oil_has_sought_to_thwart.jpg
Trump says he will meet probation officer before hush money sentencing,https://www.yahoo.com/news/trump-says-meet-probation-officer-165658506.html,"Mon, June 10, 2024",10:26 PM GMT+5:30,2 min read,"By Luc Cohen
NEW YORK (Reuters) - Donald Trump said on Monday he would be interviewed by a probation officer ahead of his sentencing next month over his historic conviction on charges stemming from hush money paid to a porn star.
In a fundraising email to supporters, the Republican presidential candidate wrote, ""I'm actually about to speak to a probation officer after my RIGGED CONVICTION!"" Trump did not say when the meeting would take place.
In the first-ever criminal trial of a former U.S. president, a Manhattan jury last month found Trump guilty on 34 counts of falsifying business records to cover up his former lawyer Michael Cohen's $130,000 payment to adult film actress Stormy Daniels for her silence before the 2016 election about a sexual encounter she says they had a decade earlier.
Trump denies the encounter and has vowed to appeal the verdict after his July 11 sentencing hearing before Justice Juan Merchan

. Trump has called the charges, brought by Democratic Manhattan District Attorney Alvin Bragg, a partisan attempt to interfere with his campaign.
A probation officer's report is intended to give the sentencing judge a holistic view of a defendant's life circumstances and background to help decide whether a jail sentence or an alternative like probation is appropriate, said Duncan Levin, a New York defense lawyer and former Manhattan prosecutor.
In a typical interview, the officer will ask defendants about their family, their childhood circumstances, their immigration status, and any drug use to compile a report to give judges context that may not have come out earlier in the case.
Such details are less relevant in this case because Trump's biographical details are already widely known, Levin said.
""The judge is already highly educated as to who this particular defendant is,"" Levin said.
The probation officer's recommendation is just one factor that judges consider in determining a sentence for criminal defendants. Prosecutors and defense lawyers also suggest sentences.
Merchan on Friday signed an order allowing Trump's defense lawyer Todd Blanche to be present during the interview. That is common, Levin said.
For defendants convicted of felony falsifying business records in the past, punishments like probation or fines are most common - but jail sentences are not unprecedented.
One factor that Merchan may consider is Trump's decision to take his case to trial. While any criminal defendant has the right to do so, judges often look favorably on people who admit culpability and express remorse.
Trump also faces three other criminal cases stemming from efforts to overturn his 2020 election loss to Democratic President Joe Biden and his handling of sensitive government documents after leaving the White House in 2021. He has pleaded not guilty in those cases, none of which are likely to reach trial before the Nov. 5 election.
(Reporting by Luc Cohen in New York; Editing by Alistair Bell)
View comments (8)",C:\Python\rpa_challange\Images\Trump_says_he_will_meet_probation_officer_before_hush_money_sentencing.jpg
Supreme Court will take up Meta's bid to end lawsuit over Cambridge Analytica privacy scandal,https://www.yahoo.com/news/supreme-court-metas-bid-end-151420342.html,"Mon, June 10, 2024",8:44 PM GMT+5:30,1 min read,"WASHINGTON (AP) — The Supreme Court said Monday it will consider shutting down a multibillion-dollar class action investors' lawsuit against Facebook parent Meta stemming from the privacy scandal involving the Cambridge Analytica political consulting firm.
The justices agreed to hear Meta's appeal of a lower-court ruling that allowed the class action to go forward. Investors allege that Meta did not fully disclose the risks that Facebook users' personal information would be misused by Cambridge Analytica, a firm that supported Donald Trump’s successful Republican presidential campaign in 2016.
Inadequacy of the disclosures led to two significant price drops in the price of the company's shares in 2018, after the public learned about the extent of the privacy scandal, the investors say.
The case will be argued in the fall.
Meta already has paid a $5.1 billion fine and reached a $725 million privacy settlement with users.
Cambridge Analytica had ties to Trump political strategist Stephen Bannon. It had paid a Facebook app developer for access to the personal information of about 87 million Facebook users. That data was then used to target U.S. voters during the 2016 campaign.
View comments (2)",C:\Python\rpa_challange\Images\Supreme_Court_will_take_up_Meta's_bid_to_end_lawsuit_over_Cambridge_Analytica_privacy_scandal.jpg
